item,party_group,n_unweighted,wmean,wsd,dist_1,dist_2,dist_3,coding,dist_4,dist_0
happening,overall,8231,2.5822,0.7234,0.14,0.1377,0.7223,1=No 2=Don't know 3=Yes (Do you think global warming is happening?),,
happening,Republican,3123,2.1884,0.88,0.3106,0.1904,0.499,,,
happening,Democrat,3520,2.9002,0.3627,0.0209,0.0581,0.9211,,,
happening,Independent,804,2.6079,0.694,0.1213,0.1495,0.7292,,,
happening,Other,724,2.5653,0.6401,0.0817,0.2712,0.6471,,,
worry,overall,8233,2.788,1.0256,0.1531,0.1949,0.3628,1=Not at all worried 2=Not very 3=Somewhat 4=Very worried,0.2892,
worry,Republican,3125,2.1248,0.9394,0.3074,0.3397,0.2738,,0.0792,
worry,Democrat,3520,3.369,0.7303,0.0266,0.0703,0.4105,,0.4926,
worry,Independent,805,2.7245,0.9577,0.1414,0.2095,0.4323,,0.2168,
worry,Other,724,2.6762,1.0038,0.1689,0.2106,0.3958,,0.2247,
harm_personally,overall,8230,2.4543,1.0434,0.2141,0.2309,0.2932,0=Don't know(excl from mean) 1=Not at all 2=Only a little 3=Moderate amount 4=A great deal,0.1658,0.096
harm_personally,Republican,3124,1.8448,0.9437,0.43,0.2663,0.1621,,0.0625,0.0792
harm_personally,Democrat,3519,2.9157,0.8555,0.0563,0.2133,0.4113,,0.2476,0.0716
harm_personally,Independent,804,2.4706,1.0334,0.2016,0.2319,0.2955,,0.1629,0.1082
harm_personally,Other,724,2.5744,1.0563,0.1577,0.1885,0.2462,,0.1765,0.2311
harm_US,overall,8230,2.9154,1.0447,0.1318,0.141,0.3062,0=Don't know(excl from mean) 1=Not at all 2=Only a little 3=Moderate amount 4=A great deal,0.328,0.0929
harm_US,Republican,3124,2.239,1.0359,0.2838,0.2496,0.2567,,0.1227,0.0873
harm_US,Democrat,3519,3.4436,0.6954,0.0168,0.0608,0.3512,,0.5116,0.0595
harm_US,Independent,804,2.8793,1.0274,0.1305,0.1357,0.3306,,0.2897,0.1135
harm_US,Other,724,2.983,1.0189,0.1001,0.1136,0.2714,,0.3004,0.2145
harm_future_gen,overall,8229,3.2907,1.0378,0.1026,0.0823,0.1632,0=Don't know(excl from mean) 1=Not at all 2=Only a little 3=Moderate amount 4=A great deal,0.5481,0.1037
harm_future_gen,Republican,3124,2.6334,1.1731,0.2233,0.163,0.2171,,0.2842,0.1124
harm_future_gen,Democrat,3518,3.7952,0.5287,0.0109,0.0218,0.1155,,0.7887,0.063
harm_future_gen,Independent,804,3.2602,1.0428,0.1013,0.0867,0.1696,,0.5168,0.1257
harm_future_gen,Other,724,3.3382,0.9828,0.0786,0.0575,0.1736,,0.4828,0.2075
reg_CO2_pollutant,overall,7118,2.9396,0.9631,0.1191,0.1383,0.4264,1=Strongly oppose 2=Somewhat oppose 3=Somewhat support 4=Strongly support (regulate CO2 as a pollutant),0.3161,
reg_CO2_pollutant,Republican,2706,2.3962,0.9704,0.2427,0.2267,0.4222,,0.1084,
reg_CO2_pollutant,Democrat,3066,3.4405,0.6668,0.0149,0.0542,0.4063,,0.5246,
reg_CO2_pollutant,Independent,687,2.8209,0.9733,0.1419,0.1529,0.4476,,0.2576,
reg_CO2_pollutant,Other,617,2.7974,0.8998,0.1165,0.1764,0.5003,,0.2068,
fund_research,overall,6114,3.0802,0.937,0.0982,0.1073,0.4105,1=Strongly oppose 2=Somewhat oppose 3=Somewhat support 4=Strongly support (fund research into renewable energy sources),0.3839,
fund_research,Republican,2357,2.5294,0.9653,0.2066,0.192,0.4668,,0.1346,
fund_research,Democrat,2620,3.56,0.6287,0.0137,0.0332,0.3325,,0.6206,
fund_research,Independent,568,3.0154,0.9277,0.0985,0.1264,0.4362,,0.3389,
fund_research,Other,527,3.0084,0.8553,0.0839,0.1091,0.5216,,0.2854,
reduce_tax,overall,7116,2.8103,1.0226,0.156,0.1675,0.3865,1=Strongly oppose 2=Somewhat oppose 3=Somewhat support 4=Strongly support (give tax rebates for efficient vehicles/solar),0.2899,
reduce_tax,Republican,2747,2.1849,0.9913,0.3227,0.2628,0.3215,,0.0931,
reduce_tax,Democrat,3034,3.3313,0.7372,0.0242,0.0881,0.4197,,0.4679,
reduce_tax,Independent,682,2.7387,1.0436,0.1842,0.156,0.3967,,0.2631,
reduce_tax,Other,610,2.8465,0.9147,0.1082,0.1815,0.4658,,0.2445,
