gender,age_band,educ,n_unweighted,weighted_n,p_republican,p_democrat,p_independent,p_other
Female,18-29,HS or less,220,430.7,0.2444,0.3713,0.109,0.2754
Female,18-29,Some college,142,236.2,0.2409,0.5422,0.0968,0.1201
Female,18-29,Bachelor,124,162.0,0.1603,0.6803,0.0808,0.0786
Female,18-29,Postgrad,43,64.8,0.1654,0.7958,0.0388,0.0
Female,30-44,HS or less,238,382.2,0.2809,0.3369,0.1288,0.2533
Female,30-44,Some college,225,303.5,0.339,0.3523,0.1165,0.1922
Female,30-44,Bachelor,244,275.2,0.3181,0.5146,0.0928,0.0745
Female,30-44,Postgrad,172,196.5,0.2224,0.6553,0.0711,0.0511
Female,45-59,HS or less,325,415.9,0.3482,0.3821,0.0703,0.1994
Female,45-59,Some college,291,319.1,0.3767,0.407,0.105,0.1113
Female,45-59,Bachelor,201,189.0,0.3593,0.4797,0.0836,0.0775
Female,45-59,Postgrad,183,171.5,0.2856,0.5721,0.0918,0.0505
Female,60+,HS or less,609,613.2,0.3989,0.4261,0.0892,0.0859
Female,60+,Some college,513,447.7,0.4266,0.4576,0.0615,0.0543
Female,60+,Bachelor,303,214.1,0.3792,0.5232,0.0701,0.0275
Female,60+,Postgrad,269,197.1,0.2578,0.6429,0.0749,0.0244
Male,18-29,HS or less,226,424.5,0.3425,0.2789,0.2075,0.1711
Male,18-29,Some college,125,221.6,0.3231,0.4513,0.1411,0.0844
Male,18-29,Bachelor,134,196.1,0.293,0.5769,0.0769,0.0532
Male,18-29,Postgrad,51,74.2,0.2736,0.5682,0.0797,0.0785
Male,30-44,HS or less,283,444.1,0.3169,0.4014,0.1,0.1817
Male,30-44,Some college,184,239.0,0.3239,0.4462,0.1075,0.1224
Male,30-44,Bachelor,267,281.4,0.2787,0.5612,0.0971,0.063
Male,30-44,Postgrad,192,197.7,0.2933,0.5528,0.09,0.0639
Male,45-59,HS or less,301,357.9,0.4387,0.3246,0.1011,0.1356
Male,45-59,Some college,297,312.8,0.5009,0.3003,0.1122,0.0867
Male,45-59,Bachelor,253,221.2,0.4987,0.3435,0.1306,0.0273
Male,45-59,Postgrad,196,173.8,0.3573,0.5095,0.1087,0.0245
Male,60+,HS or less,401,391.8,0.4754,0.3689,0.1014,0.0542
Male,60+,Some college,459,385.9,0.5062,0.3378,0.1105,0.0455
Male,60+,Bachelor,330,221.9,0.4256,0.4383,0.1086,0.0274
Male,60+,Postgrad,373,264.1,0.3539,0.5128,0.1004,0.0329
