item,subscale,group,n,mean,sd,p1,p2,p3,p4,p5,wording
TRUST_SCI_expert,competence,overall,2559,3.9426,0.9875,0.0301,0.0395,0.2188,0.381,0.3306,How expert or inexpert are most scientists?
TRUST_SCI_expert,competence,left,667,4.1949,0.9607,0.0285,0.0345,0.1079,0.3718,0.4573,
TRUST_SCI_expert,competence,center,718,3.8454,0.9238,0.0181,0.0404,0.2855,0.39,0.266,
TRUST_SCI_expert,competence,right,978,3.9192,1.0049,0.0358,0.0429,0.2045,0.3998,0.317,
TRUST_SCI_intellig,competence,overall,2559,4.3181,0.8915,0.018,0.018,0.127,0.3021,0.535,How intelligent or unintelligent are most scientists?
TRUST_SCI_intellig,competence,left,667,4.4918,0.8443,0.018,0.018,0.069,0.2444,0.6507,
TRUST_SCI_intellig,competence,center,718,4.2646,0.8465,0.007,0.0237,0.1476,0.3412,0.4805,
TRUST_SCI_intellig,competence,right,978,4.3241,0.8645,0.0164,0.0164,0.1166,0.3282,0.5225,
TRUST_SCI_qualified,competence,overall,2559,4.1891,0.9313,0.0188,0.0301,0.154,0.3376,0.4596,How qualified or unqualified are most scientists when it comes to conducting high-quality research?
TRUST_SCI_qualified,competence,left,667,4.3853,0.8733,0.0135,0.0255,0.1049,0.2744,0.5817,
TRUST_SCI_qualified,competence,center,718,4.1058,0.9056,0.0125,0.0348,0.1825,0.3747,0.3955,
TRUST_SCI_qualified,competence,right,978,4.1994,0.9106,0.0184,0.0286,0.138,0.365,0.4499,
TRUST_SCI_honest,integrity,overall,2558,3.8401,1.0013,0.025,0.0645,0.2502,0.3659,0.2944,How honest or dishonest are most scientists?
TRUST_SCI_honest,integrity,left,666,4.1336,0.938,0.0165,0.0435,0.1517,0.3664,0.4219,
TRUST_SCI_honest,integrity,center,718,3.7479,0.9219,0.0167,0.0571,0.3106,0.3928,0.2228,
TRUST_SCI_honest,integrity,right,978,3.7853,1.043,0.0297,0.0859,0.2382,0.362,0.2843,
TRUST_SCI_ethical,integrity,overall,2559,3.798,1.016,0.0297,0.0684,0.254,0.3701,0.2778,How ethical or unethical are most scientists?
TRUST_SCI_ethical,integrity,left,667,4.0495,0.9737,0.024,0.0435,0.1754,0.3733,0.3838,
TRUST_SCI_ethical,integrity,center,718,3.7813,0.9015,0.0153,0.0515,0.2925,0.4178,0.2228,
TRUST_SCI_ethical,integrity,right,978,3.7301,1.0749,0.0389,0.093,0.2362,0.363,0.2689,
TRUST_SCI_sincere,integrity,overall,2559,3.905,1.0,0.0285,0.0539,0.2188,0.3814,0.3173,How sincere or insincere are most scientists?
TRUST_SCI_sincere,integrity,left,667,4.1394,0.9772,0.027,0.033,0.1559,0.3418,0.4423,
TRUST_SCI_sincere,integrity,center,718,3.8552,0.9078,0.0111,0.0585,0.2521,0.4206,0.2577,
TRUST_SCI_sincere,integrity,right,978,3.864,1.0232,0.0337,0.0644,0.2045,0.3988,0.2986,
TRUST_SCI_concerned,benevolence,overall,2558,3.835,1.0691,0.0407,0.0692,0.2158,0.3632,0.3112,How concerned or not concerned are most scientists about people's wellbeing?
TRUST_SCI_concerned,benevolence,left,667,4.1124,1.0153,0.033,0.051,0.1139,0.3748,0.4273,
TRUST_SCI_concerned,benevolence,center,718,3.7382,1.0246,0.032,0.0794,0.2591,0.3774,0.2521,
TRUST_SCI_concerned,benevolence,right,977,3.7943,1.0863,0.044,0.0757,0.2221,0.3582,0.2999,
TRUST_SCI_improve,benevolence,overall,2558,3.9105,1.0015,0.0281,0.0489,0.2346,0.3612,0.3272,How eager or uneager are most scientists to improve others' lives?
TRUST_SCI_improve,benevolence,left,667,4.1004,0.9635,0.024,0.039,0.1574,0.3718,0.4078,
TRUST_SCI_improve,benevolence,center,718,3.8719,0.9255,0.0125,0.0474,0.2827,0.3705,0.2869,
TRUST_SCI_improve,benevolence,right,977,3.9007,1.0329,0.0338,0.0563,0.216,0.3634,0.3306,
TRUST_SCI_otherint,benevolence,overall,2559,3.7233,1.0507,0.0371,0.0762,0.2771,0.3454,0.2642,How considerate or inconsiderate are most scientists of others' interests?
TRUST_SCI_otherint,benevolence,left,667,3.9895,0.9886,0.03,0.0405,0.1919,0.3853,0.3523,
TRUST_SCI_otherint,benevolence,center,718,3.6072,0.969,0.0237,0.0877,0.337,0.3607,0.1908,
TRUST_SCI_otherint,benevolence,right,978,3.6984,1.1092,0.045,0.0951,0.2556,0.3252,0.2791,
TRUST_SCI_open,openness,overall,2559,3.6241,1.1164,0.052,0.1059,0.2521,0.3462,0.2438,How open are most scientists to feedback?
TRUST_SCI_open,openness,left,667,3.943,1.028,0.0315,0.063,0.1799,0.3823,0.3433,
TRUST_SCI_open,openness,center,718,3.539,1.0312,0.0334,0.1253,0.2911,0.3691,0.1811,
TRUST_SCI_open,openness,right,978,3.547,1.1895,0.0716,0.1227,0.2382,0.3221,0.2454,
TRUST_SCI_trans,openness,overall,2559,3.694,1.0993,0.0453,0.0922,0.2552,0.3376,0.2696,How willing or unwilling are most scientists to be transparent?
TRUST_SCI_trans,openness,left,667,4.0405,0.9817,0.021,0.06,0.1559,0.3838,0.3793,
TRUST_SCI_trans,openness,center,718,3.5877,1.0104,0.0265,0.11,0.312,0.3524,0.1992,
TRUST_SCI_trans,openness,right,978,3.6155,1.1908,0.0706,0.1074,0.229,0.3221,0.271,
TRUST_SCI_otherviews,openness,overall,2558,3.6321,1.1289,0.0555,0.0911,0.2823,0.3081,0.2631,How much or little attention do scientists pay to others' views?
TRUST_SCI_otherviews,openness,left,666,3.9294,1.0504,0.0315,0.0616,0.2147,0.3303,0.3619,
TRUST_SCI_otherviews,openness,center,718,3.507,1.0373,0.0432,0.1003,0.3454,0.3287,0.1825,
TRUST_SCI_otherviews,openness,right,978,3.6053,1.2012,0.0726,0.1043,0.2474,0.2965,0.2791,
CLIM_TRUST,single_item_climate,overall,2557,3.6891,1.2931,0.1005,0.0724,0.2194,0.253,0.3547,To what extent do you trust scientists in your country who work on climate change? (1 not at all - 5 very strongly)
CLIM_TRUST,single_item_climate,left,666,4.2327,1.0641,0.042,0.0345,0.1201,0.2553,0.548,
CLIM_TRUST,single_item_climate,center,718,3.6212,1.1383,0.0613,0.0794,0.3022,0.2911,0.266,
CLIM_TRUST,single_item_climate,right,977,3.4493,1.4278,0.1617,0.0931,0.1955,0.2334,0.3163,
TRUST_PEW,single_item_pew,overall,2559,3.8437,1.1233,0.0481,0.0696,0.2239,0.3075,0.3509,How much confidence do you have in scientists to act in the best interests of the public? (1 none at all - 5 a great deal)
TRUST_PEW,single_item_pew,left,667,4.1649,0.9832,0.0285,0.0285,0.1574,0.3208,0.4648,
TRUST_PEW,single_item_pew,center,718,3.7396,1.0051,0.0237,0.0766,0.2967,0.3426,0.2604,
TRUST_PEW,single_item_pew,right,978,3.7873,1.2198,0.0695,0.091,0.182,0.2975,0.3599,
