,TRUST_SCI_expert,TRUST_SCI_intellig,TRUST_SCI_qualified,TRUST_SCI_honest,TRUST_SCI_ethical,TRUST_SCI_sincere,TRUST_SCI_concerned,TRUST_SCI_improve,TRUST_SCI_otherint,TRUST_SCI_open,TRUST_SCI_trans,TRUST_SCI_otherviews,CLIM_TRUST,TRUST_PEW
TRUST_SCI_expert,1.0,0.6145,0.6354,0.608,0.5624,0.5705,0.554,0.5855,0.5351,0.5265,0.5247,0.5152,0.5369,0.5544
TRUST_SCI_intellig,0.6145,1.0,0.7214,0.5808,0.5712,0.5838,0.5417,0.6122,0.5184,0.5067,0.523,0.4892,0.5,0.5416
TRUST_SCI_qualified,0.6354,0.7214,1.0,0.5925,0.5903,0.6162,0.5647,0.637,0.5876,0.5418,0.5598,0.5448,0.549,0.5888
TRUST_SCI_honest,0.608,0.5808,0.5925,1.0,0.6925,0.6641,0.6232,0.6635,0.6233,0.6665,0.6661,0.6206,0.6255,0.6735
TRUST_SCI_ethical,0.5624,0.5712,0.5903,0.6925,1.0,0.6668,0.605,0.661,0.6562,0.6609,0.6936,0.6381,0.6046,0.6523
TRUST_SCI_sincere,0.5705,0.5838,0.6162,0.6641,0.6668,1.0,0.595,0.6636,0.6923,0.6333,0.6364,0.6396,0.5686,0.6428
TRUST_SCI_concerned,0.554,0.5417,0.5647,0.6232,0.605,0.595,1.0,0.665,0.5878,0.6076,0.6082,0.557,0.5528,0.6015
TRUST_SCI_improve,0.5855,0.6122,0.637,0.6635,0.661,0.6636,0.665,1.0,0.6529,0.6338,0.655,0.6196,0.584,0.646
TRUST_SCI_otherint,0.5351,0.5184,0.5876,0.6233,0.6562,0.6923,0.5878,0.6529,1.0,0.6541,0.6557,0.7093,0.5799,0.6814
TRUST_SCI_open,0.5265,0.5067,0.5418,0.6665,0.6609,0.6333,0.6076,0.6338,0.6541,1.0,0.7092,0.6994,0.6096,0.6726
TRUST_SCI_trans,0.5247,0.523,0.5598,0.6661,0.6936,0.6364,0.6082,0.655,0.6557,0.7092,1.0,0.6878,0.6249,0.6989
TRUST_SCI_otherviews,0.5152,0.4892,0.5448,0.6206,0.6381,0.6396,0.557,0.6196,0.7093,0.6994,0.6878,1.0,0.5871,0.6916
CLIM_TRUST,0.5369,0.5,0.549,0.6255,0.6046,0.5686,0.5528,0.584,0.5799,0.6096,0.6249,0.5871,1.0,0.7011
TRUST_PEW,0.5544,0.5416,0.5888,0.6735,0.6523,0.6428,0.6015,0.646,0.6814,0.6726,0.6989,0.6916,0.7011,1.0
