study_id,study_label,condition,reference,outcome_key,outcome_text,scale_min,scale_max,scale_labels,n_treat,n_ref,mean_treat,mean_ref,sd_treat,sd_ref,ate,se,hypothesized_direction,reference_type,scale_flip,outcome_text_is_scale_only
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Democratic story,Control,Gender Roles,"Please use the slider to finish the statement below using a 0-10 scale where 0 is worse, 5 is the same, and 10 is better.

If we had more women in elected office, America would be…",0,10,0=worse; 10=better,270,258,6.60741,6.56589,2.14561,2.22419,0.0415159,0.190329,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Non-Partisan story,Control,Gender Roles,"Please use the slider to finish the statement below using a 0-10 scale where 0 is worse, 5 is the same, and 10 is better.

If we had more women in elected office, America would be…",0,10,0=worse; 10=better,230,258,6.52174,6.56589,2.14272,2.22419,-0.0441523,0.197829,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Republican story,Control,Gender Roles,"Please use the slider to finish the statement below using a 0-10 scale where 0 is worse, 5 is the same, and 10 is better.

If we had more women in elected office, America would be…",0,10,0=worse; 10=better,233,258,6.79399,6.56589,1.92993,2.22419,0.2281,0.18751,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Democratic story,Control,Political Engagement,"Even if you’ve never thought about it, could you see yourself doing any of the following things in the future?
Volunteer in my community",0,10,0=Not likely at all; 10=Very likely,261,257,6.58238,6.84825,2.8659,2.89873,-0.265874,0.253306,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Non-Partisan story,Control,Political Engagement,"Even if you’ve never thought about it, could you see yourself doing any of the following things in the future?
Volunteer in my community",0,10,0=Not likely at all; 10=Very likely,227,257,6.6696,6.84825,2.7234,2.89873,-0.178646,0.255673,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Republican story,Control,Political Engagement,"Even if you’ve never thought about it, could you see yourself doing any of the following things in the future?
Volunteer in my community",0,10,0=Not likely at all; 10=Very likely,228,257,6.86842,6.84825,2.89619,2.89873,0.020172,0.263599,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Democratic story,Control,Political Responsiveness,"Using the slider, please rate how much you agree or disagree with the following statement 
A.        The political system helps people with their genuine needs",0,10,0=disagree; 10=agree,264,257,4.34091,4.57977,2.38445,2.34572,-0.238857,0.207236,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Non-Partisan story,Control,Political Responsiveness,"Using the slider, please rate how much you agree or disagree with the following statement 
A.        The political system helps people with their genuine needs",0,10,0=disagree; 10=agree,226,257,4.37168,4.57977,2.47007,2.34572,-0.208085,0.220015,1,named_control,FALSE,FALSE
Campbell1308,The Effects of Exposure to Women Candidates on Political Attitudes,Republican story,Control,Political Responsiveness,"Using the slider, please rate how much you agree or disagree with the following statement 
A.        The political system helps people with their genuine needs",0,10,0=disagree; 10=agree,227,257,4.40529,4.57977,2.50373,2.34572,-0.17448,0.221417,1,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Friends Reminder,Control,rate_democrats,"How would you rate Democrats?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,851,777,43.1786,46.9279,30.9919,31.6754,-3.74931,1.55562,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Private Reminder,Control,rate_democrats,"How would you rate Democrats?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,796,777,45.1545,46.9279,31.9115,31.6754,-1.77341,1.60331,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Published Reminder,Control,rate_democrats,"How would you rate Democrats?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,794,777,45.136,46.9279,32.0962,31.6754,-1.79191,1.60895,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Friends Reminder,Control,rate_republicans,"How would you rate Republicans?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,847,773,50.987,46.11,31.5391,31.8216,4.87705,1.57619,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Private Reminder,Control,rate_republicans,"How would you rate Republicans?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,792,773,48.6073,46.11,31.8762,31.8216,2.49736,1.61026,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Published Reminder,Control,rate_republicans,"How would you rate Republicans?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,796,773,49.7399,46.11,32.2425,31.8216,3.62999,1.6174,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Friends Reminder,Control,trust_democrats,How much of the time do you think you can trust Democrats to do what is right for the country?,1,5,1=Almost never; 5=Almost always,869,805,2.49137,2.63602,1.16555,1.22289,-0.144655,0.0584895,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Private Reminder,Control,trust_democrats,How much of the time do you think you can trust Democrats to do what is right for the country?,1,5,1=Almost never; 5=Almost always,823,805,2.54921,2.63602,1.21815,1.22289,-0.0868146,0.0605041,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Published Reminder,Control,trust_democrats,How much of the time do you think you can trust Democrats to do what is right for the country?,1,5,1=Almost never; 5=Almost always,824,805,2.51578,2.63602,1.22141,1.22289,-0.120248,0.0605659,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Friends Reminder,Control,trust_republicans,How much of the time do you think you can trust Republicans to do what is right for the country?,1,5,1=Almost never; 5=Almost always,869,804,2.74108,2.57338,1.18007,1.15038,0.167699,0.0569954,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Private Reminder,Control,trust_republicans,How much of the time do you think you can trust Republicans to do what is right for the country?,1,5,1=Almost never; 5=Almost always,825,804,2.62667,2.57338,1.17983,1.15038,0.0532836,0.0577345,,named_control,FALSE,FALSE
Connors1226,Everyone’s Doing It: Affective Polarization is Inflated by Social Pressure,Published Reminder,Control,trust_republicans,How much of the time do you think you can trust Republicans to do what is right for the country?,1,5,1=Almost never; 5=Almost always,822,804,2.67275,2.57338,1.2165,1.15038,0.0993663,0.0587053,,named_control,FALSE,FALSE
FarrowS6,Does Misery Love Company?: Exploration of a Strategic Intervention to Improve Well-being,Condition 2 disappointment,Condition 1 disappointment,Disappointment,"On a scale of 1-7, where 1 is not at all disappointed and 7 is extremely disappointed, please rate how you feel about this change below",1,7,1=Not at all disappointed; 7=Extremely disappointed,491,483,5.62525,5.67495,1.54064,1.55932,-0.0496937,0.099339,1,hypothesis_t0,FALSE,FALSE
Haaland874,Beliefs about Racial Discrimination,TREATMENT,CONTROL,Affirmative action: Assistance,Do you support or oppose government and private programs that give qualified black candidates assistance in getting a job?,1,5,1=Strongly oppose; 5=Strongly support,779,754,3.47112,3.45093,1.04531,1.04779,0.0201884,0.0534668,1,named_control,TRUE,FALSE
Haaland874,Beliefs about Racial Discrimination,TREATMENT,CONTROL,Affirmative action: Preference,Do you support or oppose government and private programs that give qualified black candidates preference over equally qualified white candidates in getting a job?,1,5,1=Strongly oppose; 5=Strongly support,782,753,2.67391,2.70784,1.0517,1.12498,-0.0339223,0.0556341,1,named_control,TRUE,FALSE
Haaland874,Beliefs about Racial Discrimination,TREATMENT,CONTROL,Racial Discrimination perception,"In the United States today, do you think that racial discrimination against blacks in the labor market is a serious problem?",1,5,1=Not a problem at all; 5=A very serious problem,781,757,3.37388,3.20476,1.1815,1.20803,0.169124,0.0609521,1,named_control,TRUE,FALSE
HankinsonS22,Burden Sharing and Collective Action: A Study of Opinion on Opioid Treatment Funding,Far Treatment,Near Treatment,Clinic_support,Please choose a number from 1 (Strongly oppose) to 5 (Strongly support),1,5,1=Strongly oppose; 5=Strongly support,1020,980,3.34314,2.91837,1.32608,1.39438,0.42477,0.0608933,1,hypothesis_t0,TRUE,TRUE
KlarS44,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,GENDER,CONTROL,efficacy,"Thinking about the issue of abortion, do you agree or disagree with the following statement: 
 
 As a citizen I have the power to influence what politicians do about abortion laws in America.",1,7,1=Strongly disagree; 7=Strongly agree,730,677,4.60411,4.58641,1.77027,1.8976,0.017699,0.09804,,named_control,TRUE,FALSE
KlarS44,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,PARTISAN,CONTROL,efficacy,"Thinking about the issue of abortion, do you agree or disagree with the following statement: 
 
 As a citizen I have the power to influence what politicians do about abortion laws in America.",1,7,1=Strongly disagree; 7=Strongly agree,702,677,4.46154,4.58641,1.86356,1.8976,-0.124872,0.101321,-1,named_control,TRUE,FALSE
KlarS44,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,GENDER,CONTROL,importance,"As you think about the upcoming Presidential election in 2020, how unimportant or important is the issue of abortion to you?",1,5,1=Very unimportant; 5=Very important,731,678,3.60055,3.64307,1.34437,1.30085,-0.0425207,0.0704862,,named_control,FALSE,FALSE
KlarS44,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,PARTISAN,CONTROL,importance,"As you think about the upcoming Presidential election in 2020, how unimportant or important is the issue of abortion to you?",1,5,1=Very unimportant; 5=Very important,704,678,3.66619,3.64307,1.32196,1.30085,0.0231253,0.0705567,-1,named_control,FALSE,FALSE
KlarS44,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,GENDER,CONTROL,support_candidate,"In the coming year, how likely or unlikely are you to support a political campaign for a candidate, for example by volunteering, attending an event, putting up a yard-sign, or encouraging others to vote?",1,5,1=Very unlikely that I will campaign for a candidate; 5=Very likely that I will campaign for a candidate,732,676,2.68306,2.79734,1.36823,1.39907,-0.114277,0.0738444,,named_control,TRUE,FALSE
KlarS44,Gender Versus Party? Do Abortion Frames Affect Issue Engagement?,PARTISAN,CONTROL,support_candidate,"In the coming year, how likely or unlikely are you to support a political campaign for a candidate, for example by volunteering, attending an event, putting up a yard-sign, or encouraging others to vote?",1,5,1=Very unlikely that I will campaign for a candidate; 5=Very likely that I will campaign for a candidate,705,676,2.66241,2.79734,1.39176,1.39907,-0.134926,0.0751204,-1,named_control,TRUE,FALSE
McCabeS19,Public Opinion and Attributions for Health Care Costs,INSURANCE,CONTROL,Attribution,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

If you received this type of medical bill, who would deserve the blame for your experience?

<i>Rank the following, where 1= deserves the <u>most blame</u>, 2= the second most blame, 3= the third most blame, 4= the fourth most blame, 5= the<u>least</u> blame.</i> 
A.        Republicans in government, for failing to address rising health care costs. 
B.        Democrats in government, for failing to address rising health care costs.
C.        A health care provider, for failing to be transparent about costs or provide affordable services.
D.        A health insurance company, for failing to provide adequate coverage for medical care. 
E.        You, as the consumer, for failing to save enough money or purchase adequate health insurance.

What rank would you assign for the first item in the list (Republicans in government, for failing to address rising health care costs)?",1,5,1=Least blame; 5=Most blame,428,399,2.93925,3.01504,1.40792,1.39625,-0.0757853,0.0975574,,named_control,TRUE,FALSE
McCabeS19,Public Opinion and Attributions for Health Care Costs,PROVIDER,CONTROL,Attribution,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

If you received this type of medical bill, who would deserve the blame for your experience?

<i>Rank the following, where 1= deserves the <u>most blame</u>, 2= the second most blame, 3= the third most blame, 4= the fourth most blame, 5= the<u>least</u> blame.</i> 
A.        Republicans in government, for failing to address rising health care costs. 
B.        Democrats in government, for failing to address rising health care costs.
C.        A health care provider, for failing to be transparent about costs or provide affordable services.
D.        A health insurance company, for failing to provide adequate coverage for medical care. 
E.        You, as the consumer, for failing to save enough money or purchase adequate health insurance.

What rank would you assign for the first item in the list (Republicans in government, for failing to address rising health care costs)?",1,5,1=Least blame; 5=Most blame,405,399,2.96296,3.01504,1.39522,1.39625,-0.0520746,0.0984508,,named_control,TRUE,FALSE
