"study","outcome.variable","outcome.name","outcome.min","outcome.max","condition.name","n_total","n","mean","sd"
"ThorsonS42","ThorsonS42.coalescedoutcome1","Facebook",1,5,"DVs first",1049,1040,1.94038461538462,0.995806339499863
"ThorsonS42","ThorsonS42.coalescedoutcome1","Facebook",1,5,"DVs second, misinformation",533,527,1.8595825426945,0.940844524113296
"ThorsonS42","ThorsonS42.coalescedoutcome1","Facebook",1,5,"DVs second, misinformation, social media",536,534,1.79588014981273,0.869269966431351
"ThorsonS42","ThorsonS42.coalescedoutcome2","National newspapers",1,5,"DVs first",1049,1040,3.06634615384615,1.1459524600932
"ThorsonS42","ThorsonS42.coalescedoutcome2","National newspapers",1,5,"DVs second, misinformation",533,529,3.1758034026465,1.174742302136
"ThorsonS42","ThorsonS42.coalescedoutcome2","National newspapers",1,5,"DVs second, misinformation, social media",536,531,3.22787193973635,1.14548127422815
"ThorsonS42","ThorsonS42.coalescedoutcome3","Local Newspapers",1,5,"DVs first",1049,1045,3.19617224880383,1.06439444091816
"ThorsonS42","ThorsonS42.coalescedoutcome3","Local Newspapers",1,5,"DVs second, misinformation",533,529,3.25330812854442,1.05534059450363
"ThorsonS42","ThorsonS42.coalescedoutcome3","Local Newspapers",1,5,"DVs second, misinformation, social media",536,531,3.35028248587571,1.02132678933689
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Democrat, Eric Engage",97,97,4.42268041237113,1.66979946117785
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Democrat, Eric, Not engage",102,101,2.82178217821782,1.57096174112523
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Democrat, Eric, Stay out",106,106,3.72641509433962,1.49623666875025
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Democrat, Erica, Engage",95,94,4.52127659574468,1.48634446147453
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Democrat, Erica, Not engage",93,93,2.48387096774194,1.34821059529165
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Democrat, Erica, Stay out",87,87,3.48275862068966,1.46161800250428
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Republican, Eric, Engage",99,99,4.04040404040404,1.65319228556291
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Republican, Eric, Not engage",88,88,2.92045454545455,1.47952765768814
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Republican, Eric, Stay out",104,104,3.60576923076923,1.34682848772765
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Republican, Erica, Engage",95,95,4.27368421052632,1.51195312084788
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Republican, Erica, Not engage",96,96,2.86458333333333,1.57359656213112
"Blair1131","Blair1131.Q31","Approve_Handling",1,7,"Male, Republican, Erica, Stay out",87,87,3.39080459770115,1.46554475814222
"CalarcoS38","CalarcoS38.Q71","Approval",1,5,"HIGH STATUS, HEAVY DRINKIG, WARNING",153,153,4.03921568627451,0.91681910731714
"CalarcoS38","CalarcoS38.Q71","Approval",1,5,"HIGH STATUS, HEAVY DRINKING, NO WARNING",166,166,3.93373493975904,0.960653452911088
"CalarcoS38","CalarcoS38.Q71","Approval",1,5,"HIGH STATUS, LIGHT DRINKING, NO WARNING",161,160,3.2875,1.18898244111636
"CalarcoS38","CalarcoS38.Q71","Approval",1,5,"HIGH STATUS, LIGHT DRINKING, WARNING",171,171,3.31578947368421,1.0653565225425
"CalarcoS38","CalarcoS38.Q71","Approval",1,5,"HIGH STATUS, NO DRINKING, NO WARNING",157,157,1.45222929936306,0.865624569777632
