"study","outcome.name","hypothesis","condition.name","t_hypothesis"
"AnsonBRIEF60","blue_collar_positivity","hyp1","Treatment group 1",1
"AnsonBRIEF60","blue_collar_positivity","hyp1","Control group 1",0
"AnsonBRIEF60","economy_positivity","hyp1","Treatment group 1",1
"AnsonBRIEF60","economy_positivity","hyp1","Control group 1",0
"Blair1131","Approve_Handling","hyp1","Male, Republican, Eric, Not engage",0
"Blair1131","Approve_Handling","hyp1","Male, Republican, Erica, Not engage",1
"Blair1131","Approve_Handling","hyp1","Male, Democrat, Eric, Not engage",0
"Blair1131","Approve_Handling","hyp1","Male, Democrat, Erica, Not engage",1
"Blair1131","Approve_Handling","hyp2","Male, Republican, Eric, Engage",0
"Blair1131","Approve_Handling","hyp2","Male, Republican, Erica, Engage",1
"Blair1131","Approve_Handling","hyp2","Male, Democrat, Eric Engage",0
"Blair1131","Approve_Handling","hyp2","Male, Democrat, Erica, Engage",1
"Braman751","legitimacy","hyp1","Gun Control, Clear Authority, 85% support",0
"Braman751","legitimacy","hyp1","Gun Control, Clear Authority, 15% support",0
"Braman751","legitimacy","hyp1","Gun Control, Divided, 85% support",1
"Braman751","legitimacy","hyp1","Gun Control, Divided. 15% support",1
"Braman751","legitimacy","hyp1","Immigration, Clear Authority, 85% support",0
"Braman751","legitimacy","hyp1","Immigration, Clear Authority, 15% support",0
"Braman751","legitimacy","hyp1","Immigration, Divided, 85% support",1
"Braman751","legitimacy","hyp1","Immigration, Divided, 15% support",1
"Braman751","legitimacy","hyp2","Gun Control, Clear Authority, 85% support",0
"Braman751","legitimacy","hyp2","Gun Control, Clear Authority, 15% support",0
"Braman751","legitimacy","hyp2","Gun Control, Clearly No Authority, 85% support",1
"Braman751","legitimacy","hyp2","Gun Control, Clearly No Authority, 15% support",1
"Braman751","legitimacy","hyp2","Immigration, Clear Authority, 85% support",0
"Braman751","legitimacy","hyp2","Immigration, Clear Authority, 15% support",0
"Braman751","legitimacy","hyp2","Immigration, Clearly No Authority, 85% support",1
"Braman751","legitimacy","hyp2","Immigration, Clearly No Authority, 15% support",1
"Braman751","pass_legislation","hyp1","Gun Control, Clear Authority, 85% support",1
"Braman751","pass_legislation","hyp1","Gun Control, Clear Authority, 15% support",0
"Braman751","pass_legislation","hyp1","Gun Control, Divided, 85% support",1
"Braman751","pass_legislation","hyp1","Gun Control, Divided. 15% support",0
"Braman751","pass_legislation","hyp1","Gun Control, Clearly No Authority, 85% support",1
"Braman751","pass_legislation","hyp1","Gun Control, Clearly No Authority, 15% support",0
"Braman751","pass_legislation","hyp1","Immigration, Clear Authority, 85% support",1
"Braman751","pass_legislation","hyp1","Immigration, Clear Authority, 15% support",0
"Braman751","pass_legislation","hyp1","Immigration, Divided, 85% support",1
"Braman751","pass_legislation","hyp1","Immigration, Divided, 15% support",0
"Braman751","pass_legislation","hyp1","Immigration, Clearly No Authority, 85% support",1
"Braman751","scholar_credibility","hyp1","Gun Control, Clear Authority, 85% support",0
"Braman751","scholar_credibility","hyp1","Gun Control, Clear Authority, 15% support",0
"Braman751","scholar_credibility","hyp1","Gun Control, Divided, 85% support",1
"Braman751","scholar_credibility","hyp1","Gun Control, Divided. 15% support",1
"Braman751","scholar_credibility","hyp1","Immigration, Clear Authority, 85% support",0
"Braman751","scholar_credibility","hyp1","Immigration, Clear Authority, 15% support",0
"Braman751","scholar_credibility","hyp1","Immigration, Divided, 85% support",1
"Braman751","scholar_credibility","hyp1","Immigration, Divided, 15% support",1
"Braman751","scholar_credibility","hyp2","Gun Control, Clear Authority, 85% support",0
"Braman751","scholar_credibility","hyp2","Gun Control, Clear Authority, 15% support",0
"Braman751","scholar_credibility","hyp2","Gun Control, Clearly No Authority, 85% support",1
"Braman751","scholar_credibility","hyp2","Gun Control, Clearly No Authority, 15% support",1
"Braman751","scholar_credibility","hyp2","Immigration, Clear Authority, 85% support",0
"Braman751","scholar_credibility","hyp2","Immigration, Clear Authority, 15% support",0
"Braman751","scholar_credibility","hyp2","Immigration, Clearly No Authority, 85% support",1
"Braman751","scholar_credibility","hyp2","Immigration, Clearly No Authority, 15% support",1
"CalarcoS38","Approval","hyp1","HIGH STATUS, NO DRINKING, NO WARNING",0
"CalarcoS38","Approval","hyp1","HIGH STATUS, NO DRINKING, WARNING",0
"CalarcoS38","Approval","hyp1","HIGH STATUS, LIGHT DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp1","HIGH STATUS, LIGHT DRINKING, WARNING",1
"CalarcoS38","Approval","hyp1","HIGH STATUS, HEAVY DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp1","HIGH STATUS, HEAVY DRINKIG, WARNING",1
"CalarcoS38","Approval","hyp1","LOW STATUS, NO DRINKING, NO WARNING",0
"CalarcoS38","Approval","hyp1","LOW STATUS, NO DRINKING, WARNING",0
"CalarcoS38","Approval","hyp1","LOW STATUS, LIGHT DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp1","LOW STATUS, LIGHT DRINKING, WARNING",1
"CalarcoS38","Approval","hyp1","LOW STATUS, HEAVY DRINKING, NO WARNING",1
"CalarcoS38","Approval","hyp1","LOW STATUS, HEAVY DRINKING, WARNING",1
"CalarcoS38","Approval","hyp2","HIGH STATUS, NO DRINKING, NO WARNING",0
"CalarcoS38","Approval","hyp2","HIGH STATUS, NO DRINKING, WARNING",0
