study,outcome.name,outcome_page_varies_by_condition,outcome_text,scale_min,scale_max,scale_labels,outcome_page_full
AnsonBRIEF60,blue_collar_positivity,False,"Would you say that in the past year, BLUE-COLLAR WORKERS have been better off, the same, or worse off?",1,5,1=Much worse; 5=Much better,"Would you say that in the past year, BLUE-COLLAR WORKERS have been better off, the same, or worse off?
Please choose a number from 1 (Much worse) to 5 (Much better)"
AnsonBRIEF60,economy_positivity,False,"Would you say that in the past year, the U.S. ECONOMY has gotten better, stayed the same, or gotten worse?",1,5,1=Much worse; 5=Much better,"Would you say that in the past year, the U.S. ECONOMY has gotten better, stayed the same, or gotten worse?
Please choose a number from 1 (Much worse) to 5 (Much better)"
Blair1131,Approve_Handling,False,To what extent do you disapprove or approve of how the U.S. President handled the situation?,1,7,1=Strongly Disapprove; 7=Strongly Approve,"To what extent do you disapprove or approve of how the U.S. President handled the situation?
Please choose a number from 1 (Strongly Disapprove) to 7 (Strongly Approve)"
Bougher893,warmth Candidate A,False,"Using the feeling thermometer (where 0 means you feel as cold and negative as possible, 100 means you feel as warm and positive as possible, and 50 means you don’t feel particularly positive or negative), how do you feel towards Candidate A?",0,100,0=you feel as cold and negative as possible; 100=you feel as warm and positive as possible,"Using the feeling thermometer (where 0 means you feel as cold and negative as possible, 100 means you feel as warm and positive as possible, and 50 means you don’t feel particularly positive or negative), how do you feel towards Candidate A?
Please choose a number from 0 (you feel as cold and negative as possible) to 100 (you feel as warm and positive as possible)"
Bougher893,warmth Candidate B,False,"Using the feeling thermometer (where 0 means you feel as cold and negative as possible, 100 means you feel as warm and positive as possible, and 50 means you don’t feel particularly positive or negative), how do you feel towards Candidate B?",0,100,0=you feel as cold and negative as possible; 100=you feel as warm and positive as possible,"Using the feeling thermometer (where 0 means you feel as cold and negative as possible, 100 means you feel as warm and positive as possible, and 50 means you don’t feel particularly positive or negative), how do you feel towards Candidate B?
Please choose a number from 0 (you feel as cold and negative as possible) to 100 (you feel as warm and positive as possible)"
Bougher893,warmth gop,False,"Using the feeling thermometer (where 0 means you feel as cold and negative as possible, 100 means you feel as warm and positive as possible, and 50 means you don’t feel particularly positive or negative), how do you feel towards the Republican Party?",0,100,0=you feel as cold and negative as possible; 100=you feel as warm and positive as possible,"Using the feeling thermometer (where 0 means you feel as cold and negative as possible, 100 means you feel as warm and positive as possible, and 50 means you don’t feel particularly positive or negative), how do you feel towards the Republican Party?
Please choose a number from 0 (you feel as cold and negative as possible) to 100 (you feel as warm and positive as possible)"
Braman751,legitimacy,False,"Finally, which of the following reflects your views about whether it would be a legitimate (or appropriate) exercise of authority for Congress to pass this legislation?",1,7,1=Clearly Not Legitimate; 7=Clearly Legitimate,"Finally, which of the following reflects your views about whether it would be a legitimate (or appropriate) exercise of authority for Congress to pass this legislation?
Please choose a number from 1 (Clearly Not Legitimate) to 7 (Clearly Legitimate)"
Braman751,pass_legislation,False,Do YOU agree that Congress should pass the legislation described in the article?,1,6,1=Strongly Disagree; 6=Strongly agree,"Do YOU agree that Congress should pass the legislation described in the article?
Please choose a number from 1 (Strongly Disagree) to 6 (Strongly agree)"
Braman751,scholar_credibility,False,Do you think that constitutional law scholars are credible experts with regard to this issue of Congressional Authority?,1,2,1=No; 2=Yes,"Do you think that constitutional law scholars are credible experts with regard to this issue of Congressional Authority?
Please choose a number from 1 (No) to 2 (Yes)"
CalarcoS38,Approval,False,,1,5,1=Strongly Disapprove; 5=Strongly Approve,Please choose a number from 1 (Strongly Disapprove) to 5 (Strongly Approve)
Campbell1308,Gender Roles,False,"Please use the slider to finish the statement below using a 0-10 scale where 0 is worse, 5 is the same, and 10 is better.

If we had more women in elected office, America would be…",0,10,0=worse; 10=better,"Please use the slider to finish the statement below using a 0-10 scale where 0 is worse, 5 is the same, and 10 is better.

If we had more women in elected office, America would be…
Please choose a number from 0 (worse) to 10 (better)"
Campbell1308,Political Engagement,False,"Even if you’ve never thought about it, could you see yourself doing any of the following things in the future?
Volunteer in my community",0,10,0=Not likely at all; 10=Very likely,"Even if you’ve never thought about it, could you see yourself doing any of the following things in the future?
Volunteer in my community
Please choose a number from 0 (Not likely at all) to 10 (Very likely)"
Campbell1308,Political Responsiveness,False,"Using the slider, please rate how much you agree or disagree with the following statement 
A.        The political system helps people with their genuine needs",0,10,0=disagree; 10=agree,"Using the slider, please rate how much you agree or disagree with the following statement 
A.        The political system helps people with their genuine needs
Please choose a number from 0 (disagree) to 10 (agree)"
Cohen1099,Accounting,False,How unlikely or likely would you be to recommend accounting?,1,6,1=Very unlikely; 6=Very likely,"How unlikely or likely would you be to recommend accounting?
Please choose a number from 1 (Very unlikely) to 6 (Very likely)"
Cohen1099,History,False,How unlikely or likely would you be to recommend history?,1,6,1=Very unlikely; 6=Very likely,"How unlikely or likely would you be to recommend history?
Please choose a number from 1 (Very unlikely) to 6 (Very likely)"
Cohen1099,Nursing,False,How unlikely or likely would you be to recommend nursing?,1,6,1=Very unlikely; 6=Very likely,"How unlikely or likely would you be to recommend nursing?
Please choose a number from 1 (Very unlikely) to 6 (Very likely)"
Connors1226,rate_democrats,False,"How would you rate Democrats?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,"How would you rate Democrats?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.
Please choose a number from 0 (you don’t feel favorable toward the party and you don’t care too much for that party) to 100 (you feel favorable and warm toward the party)"
Connors1226,rate_republicans,False,"How would you rate Republicans?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.",0,100,0=you don’t feel favorable toward the party and you don’t care too much for that party; 100=you feel favorable and warm toward the party,"How would you rate Republicans?
 
 Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the party. Ratings between 0 degrees and 50 degrees mean that you don’t feel favorable toward the party and that you don’t care too much for that party. You would rate the party at the 50-degree mark if you don’t feel particularly warm or cold toward the party.
Please choose a number from 0 (you don’t feel favorable toward the party and you don’t care too much for that party) to 100 (you feel favorable and warm toward the party)"
Connors1226,trust_democrats,False,How much of the time do you think you can trust Democrats to do what is right for the country?,1,5,1=Almost never; 5=Almost always,"How much of the time do you think you can trust Democrats to do what is right for the country?
Please choose a number from 1 (Almost never) to 5 (Almost always)"
Connors1226,trust_republicans,False,How much of the time do you think you can trust Republicans to do what is right for the country?,1,5,1=Almost never; 5=Almost always,"How much of the time do you think you can trust Republicans to do what is right for the country?
Please choose a number from 1 (Almost never) to 5 (Almost always)"
CorstangeBRIEF69,welcome_refugees,False,"This year, the United States plans to admit 10,000 refugees.  Overall, do you think the number of refugees allowed into the United States should be increased, decreased, or kept at the current level?",1,5,1=Reduce greatly; 5=Expand greatly,"This year, the United States plans to admit 10,000 refugees.  Overall, do you think the number of refugees allowed into the United States should be increased, decreased, or kept at the current level?
Please choose a number from 1 (Reduce greatly) to 5 (Expand greatly)"
Craig735,Federal Funding,False,"Do you think the amount of federal funding dedicated to funding the U.S. military and defense departments should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",1,5,1=Decreased a lot; 5=Increased a lot,"Do you think the amount of federal funding dedicated to funding the U.S. military and defense departments should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?
Please choose a number from 1 (Decreased a lot) to 5 (Increased a lot)"
Craig735,Immigration,False,"Do you think the number of immigrants from foreign countries who are allowed to come to the U.S. to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?",1,5,1=Decreased a lot; 5=Increased a lot,"Do you think the number of immigrants from foreign countries who are allowed to come to the U.S. to live should be increased a lot, increased a little, left the same as it is now, decreased a little, or decreased a lot?
Please choose a number from 1 (Decreased a lot) to 5 (Increased a lot)"
Craig735,Terrorist Interrogation,False,How do you feel about the United States using enhanced interrogation techniques to obtain information from captured terrorists?,1,7,1=Strongly oppose using enhanced interrogation; 7=Strongly support using enhanced interrogation,"How do you feel about the United States using enhanced interrogation techniques to obtain information from captured terrorists?
Please choose a number from 1 (Strongly oppose using enhanced interrogation) to 7 (Strongly support using enhanced interrogation)"
Enos700,modern_racism1,False,,1,5,1=Strongly Disagree; 5=Strongly Agree,Please choose a number from 1 (Strongly Disagree) to 5 (Strongly Agree)
FaheyS78,cancel culture,False,"Generally speaking, do you agree or disagree with the following statement:
Cancel culture is a big problem in today’s society",1,5,1=Definitely disagree that it is a problem; 5=Definitely agree that it is a problem,"Generally speaking, do you agree or disagree with the following statement:
Cancel culture is a big problem in today’s society
Please choose a number from 1 (Definitely disagree that it is a problem) to 5 (Definitely agree that it is a problem)"
FarrowS6,Disappointment,False,"On a scale of 1-7, where 1 is not at all disappointed and 7 is extremely disappointed, please rate how you feel about this change below",1,7,1=Not at all disappointed; 7=Extremely disappointed,"On a scale of 1-7, where 1 is not at all disappointed and 7 is extremely disappointed, please rate how you feel about this change below
Please choose a number from 1 (Not at all disappointed) to 7 (Extremely disappointed)"
Haaland874,Affirmative action: Assistance,False,Do you support or oppose government and private programs that give qualified black candidates assistance in getting a job?,1,5,1=Strongly oppose; 5=Strongly support,"Do you support or oppose government and private programs that give qualified black candidates assistance in getting a job?
Please choose a number from 1 (Strongly oppose) to 5 (Strongly support)"
Haaland874,Affirmative action: Preference,False,Do you support or oppose government and private programs that give qualified black candidates preference over equally qualified white candidates in getting a job?,1,5,1=Strongly oppose; 5=Strongly support,"Do you support or oppose government and private programs that give qualified black candidates preference over equally qualified white candidates in getting a job?
Please choose a number from 1 (Strongly oppose) to 5 (Strongly support)"
Haaland874,Racial Discrimination perception,False,"In the United States today, do you think that racial discrimination against blacks in the labor market is a serious problem?",1,5,1=Not a problem at all; 5=A very serious problem,"In the United States today, do you think that racial discrimination against blacks in the labor market is a serious problem?
Please choose a number from 1 (Not a problem at all) to 5 (A very serious problem)"
HamiltonS31,belief_man_first,False,Would you be more inclined to believe the man or the woman?,1,2,1=Man; 2=Woman,"Would you be more inclined to believe the man or the woman?
Please choose a number from 1 (Man) to 2 (Woman)"
HankinsonS22,Clinic_support,False,,1,5,1=Strongly oppose; 5=Strongly support,Please choose a number from 1 (Strongly oppose) to 5 (Strongly support)
Harbridge-Yong1032,Article_Fairness,False,How fair would you say the legislative process described in this article was?,1,7,1=Extremely unfair; 7=Extremely Fair,"How fair would you say the legislative process described in this article was?
Please choose a number from 1 (Extremely unfair) to 7 (Extremely Fair)"
Harbridge-Yong1032,Article_Support,False,"In the article you just read, what did you think of the bill that was proposed and passed by the majority party?",1,7,1=Strongly oppose it; 7=Strongly Support it,"In the article you just read, what did you think of the bill that was proposed and passed by the majority party?
Please choose a number from 1 (Strongly oppose it) to 7 (Strongly Support it)"
Harbridge-Yong1032,Confidence_congress,False,How much confidence do you have in the U.S. Congress?,1,5,1=None; 5=A great deal,"How much confidence do you have in the U.S. Congress?
Please choose a number from 1 (None) to 5 (A great deal)"
Howard823,Willingness_to_spend_on_optional_expense,False,"Imagine that a friend invites you to go out for a fancy dinner next week. You will each pay for your own food and drinks. How much money would you be willing to spend on dinner, including all your food, drinks, taxes, and tip?",1,11,1=$0 - $10; 11=More than $100,"Imagine that a friend invites you to go out for a fancy dinner next week. You will each pay for your own food and drinks. How much money would you be willing to spend on dinner, including all your food, drinks, taxes, and tip?
Please choose a number from 1 ($0 - $10) to 11 (More than $100)"
Howard823,financial_slack,False,"Using the scale below, please indicate how much spare money you expect to have in the next week, compared to an average week in your life.",1,7,1=Very little spare money; 7=A lot of spare money,"Using the scale below, please indicate how much spare money you expect to have in the next week, compared to an average week in your life.
Please choose a number from 1 (Very little spare money) to 7 (A lot of spare money)"
Howat1039,Feeling_Dem,False,"Now we’d like to get your feelings toward some groups. Specifically, we’d like you to rate them using a feeling thermometer. Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the group. Ratings between 0 degrees and 50 degrees mean that you don't feel favorable toward the group and that you don't care too much for that group. You would rate the group at the 50 degree mark if you don't feel particularly warm or cold toward the group.

The Democratic Party",0,100,0=you don't feel favorable toward the group and that you don't care too much for that group; 100=you feel favorable and warm toward the group,"Now we’d like to get your feelings toward some groups. Specifically, we’d like you to rate them using a feeling thermometer. Ratings between 50 degrees and 100 degrees mean that you feel favorable and warm toward the group. Ratings between 0 degrees and 50 degrees mean that you don't feel favorable toward the group and that you don't care too much for that group. You would rate the group at the 50 degree mark if you don't feel particularly warm or cold toward the group.

The Democratic Party
Please choose a number from 0 (you don't feel favorable toward the group and that you don't care too much for that group) to 100 (you feel favorable and warm toward the group)"
Howat1039,Feeling_DemPartySupporters,False,"Where would you place the following groups on this scale?

People who support the Democratic Party",1,7,1=Extremely Liberal; 7=Extremely Conservative,"Where would you place the following groups on this scale?

People who support the Democratic Party
Please choose a number from 1 (Extremely Liberal) to 7 (Extremely Conservative)"
Howat1039,Personal_ideology,False,"When it comes to politics, do you usually think of yourself as...",1,7,1=Extremely Liberal; 7=Extremely Conservative,"When it comes to politics, do you usually think of yourself as...
Please choose a number from 1 (Extremely Liberal) to 7 (Extremely Conservative)"
Iles1294,Confusing,False,"Please indicate the degree to which you agree or disagree with the following statements:
 It is not always clear to me what foods are best for me to eat.",1,7,1=Strongly disagree; 7=Strongly agree,"Please indicate the degree to which you agree or disagree with the following statements:
 It is not always clear to me what foods are best for me to eat.
Please choose a number from 1 (Strongly disagree) to 7 (Strongly agree)"
Iles1294,Frustrated,False,"How much of each of the following emotions are you feeling as a result of the article you read?
 
 A. Frustrated",1,5,1=Very slightly or not at all; 5=Extremely,"How much of each of the following emotions are you feeling as a result of the article you read?
 
 A. Frustrated
Please choose a number from 1 (Very slightly or not at all) to 5 (Extremely)"
Iles1294,collaborative,False,"In your opinion, scientists or science experts are:",1,7,1=Non-collaborative; 7=Collaborative,"In your opinion, scientists or science experts are:
Please choose a number from 1 (Non-collaborative) to 7 (Collaborative)"
Kennedy1017,Family_approval,False,How much do you approve of this family?,1,11,1=Not at All; 11=Very much,"How much do you approve of this family?
Please choose a number from 1 (Not at All) to 11 (Very much)"
Kennedy1017,Family_friends,False,"If this family moved to your neighborhood, how interested would you be in being friends with them?",1,11,1=Not at all; 11=Very,"If this family moved to your neighborhood, how interested would you be in being friends with them?
Please choose a number from 1 (Not at all) to 11 (Very)"
Kennedy1017,Family_knowledge,False,How knowledgeable is this family?,1,11,1=Not at all; 11=Very,"How knowledgeable is this family?
Please choose a number from 1 (Not at all) to 11 (Very)"
KlarBRIEF70,child_marries_dem,False,,1,5,1=Very unhappy; 5=Very happy,Please choose a number from 1 (Very unhappy) to 5 (Very happy)
KlarS44,efficacy,False,"Thinking about the issue of abortion, do you agree or disagree with the following statement: 
 
 As a citizen I have the power to influence what politicians do about abortion laws in America.",1,7,1=Strongly disagree; 7=Strongly agree,"Thinking about the issue of abortion, do you agree or disagree with the following statement: 
 
 As a citizen I have the power to influence what politicians do about abortion laws in America.
Please choose a number from 1 (Strongly disagree) to 7 (Strongly agree)"
KlarS44,importance,False,"As you think about the upcoming Presidential election in 2020, how unimportant or important is the issue of abortion to you?",1,5,1=Very unimportant; 5=Very important,"As you think about the upcoming Presidential election in 2020, how unimportant or important is the issue of abortion to you?
Please choose a number from 1 (Very unimportant) to 5 (Very important)"
KlarS44,support_candidate,False,"In the coming year, how likely or unlikely are you to support a political campaign for a candidate, for example by volunteering, attending an event, putting up a yard-sign, or encouraging others to vote?",1,5,1=Very unlikely that I will campaign for a candidate; 5=Very likely that I will campaign for a candidate,"In the coming year, how likely or unlikely are you to support a political campaign for a candidate, for example by volunteering, attending an event, putting up a yard-sign, or encouraging others to vote?
Please choose a number from 1 (Very unlikely that I will campaign for a candidate) to 5 (Very likely that I will campaign for a candidate)"
Krupnikov719,abortion,False,"Please tell us whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if:
1.        She is married and does not want any children?",1,2,1=no; 2=yes,"Please tell us whether or not you think it should be possible for a pregnant woman to obtain a legal abortion if:
1.        She is married and does not want any children?
Please choose a number from 1 (no) to 2 (yes)"
Krupnikov719,income,False,"In 2014, what was your total family income (please approximate if you are not certain)?",1,9,"1=Less than $10,000; 9=$150,000 or more","In 2014, what was your total family income (please approximate if you are not certain)?
Please choose a number from 1 (Less than $10,000) to 9 ($150,000 or more)"
Krupnikov719,systemic_racism,False,"Do you agree or disagree with the following statements:  

Generations of slavery and discrimination have created conditions that make it difficult for blacks to work their way out of the lower class.",1,5,1=disagree strongly; 5=agree strongly,"Do you agree or disagree with the following statements:  

Generations of slavery and discrimination have created conditions that make it difficult for blacks to work their way out of the lower class.
Please choose a number from 1 (disagree strongly) to 5 (agree strongly)"
KrupnikovS34,partisanship,False,,1,7,1=Strong Democrat; 7=Strong Republican,Please choose a number from 1 (Strong Democrat) to 7 (Strong Republican)
KuruB67,poll_accuracy,False,"Comparing the two polls directly, which poll do you think is more accurate in representing the public support for the likely candidates in this election?",1,7,1=The first poll (KnowPolitics) is much more accurate than the second one (Public-Metrics); 7=The second poll (Public-Metrics) is much more accurate than the first one (KnowPolitics),"Comparing the two polls directly, which poll do you think is more accurate in representing the public support for the likely candidates in this election?
Please choose a number from 1 (The first poll (KnowPolitics) is much more accurate than the second one (Public-Metrics)) to 7 (The second poll (Public-Metrics) is much more accurate than the first one (KnowPolitics))"
KuruB67,vote_choice,False,"If the election were held tomorrow and it was between Hillary Clinton and Donald Trump, which candidate do you think would win and become the next President of the U.S.?",1,7,1=Clinton is much more likely to win; 7=Trump is much more likely to win,"If the election were held tomorrow and it was between Hillary Clinton and Donald Trump, which candidate do you think would win and become the next President of the U.S.?
Please choose a number from 1 (Clinton is much more likely to win) to 7 (Trump is much more likely to win)"
Levendusky741,Thermometer_dems,False,We’d like you to rate how you feel towards the Democratic Party on a scale of 0 to 100. Zero means x and 100 means very favorable. Fifty means you do not feel favorable or unfavorable.  How would you rate your feeling toward the Democratic Party?,0,100,0=very unfavorable; 100=very favorable,"We’d like you to rate how you feel towards the Democratic Party on a scale of 0 to 100. Zero means x and 100 means very favorable. Fifty means you do not feel favorable or unfavorable.  How would you rate your feeling toward the Democratic Party?
Please choose a number from 0 (very unfavorable) to 100 (very favorable)"
Levendusky741,social_distance,False,"In the future, if you were to discuss politics in a group with other people, what kind of group would you be most interested in joining: one with mostly Democrats, one with mostly Republicans, or one where there is an equal mix of Democrats and Republicans?",1,7,1=A group of all Democrats; 7=A group of all Republicans,"In the future, if you were to discuss politics in a group with other people, what kind of group would you be most interested in joining: one with mostly Democrats, one with mostly Republicans, or one where there is an equal mix of Democrats and Republicans?
Please choose a number from 1 (A group of all Democrats) to 7 (A group of all Republicans)"
McCabeS19,Attribution,False,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

If you received this type of medical bill, who would deserve the blame for your experience?

<i>Rank the following, where 1= deserves the <u>most blame</u>, 2= the second most blame, 3= the third most blame, 4= the fourth most blame, 5= the<u>least</u> blame.</i> 
A.        Republicans in government, for failing to address rising health care costs. 
B.        Democrats in government, for failing to address rising health care costs.
C.        A health care provider, for failing to be transparent about costs or provide affordable services.
D.        A health insurance company, for failing to provide adequate coverage for medical care. 
E.        You, as the consumer, for failing to save enough money or purchase adequate health insurance.

What rank would you assign for the first item in the list (Republicans in government, for failing to address rising health care costs)?",1,5,1=Least blame; 5=Most blame,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

If you received this type of medical bill, who would deserve the blame for your experience?

<i>Rank the following, where 1= deserves the <u>most blame</u>, 2= the second most blame, 3= the third most blame, 4= the fourth most blame, 5= the<u>least</u> blame.</i> 
A.        Republicans in government, for failing to address rising health care costs. 
B.        Democrats in government, for failing to address rising health care costs.
C.        A health care provider, for failing to be transparent about costs or provide affordable services.
D.        A health insurance company, for failing to provide adequate coverage for medical care. 
E.        You, as the consumer, for failing to save enough money or purchase adequate health insurance.

What rank would you assign for the first item in the list (Republicans in government, for failing to address rising health care costs)?
Please choose a number from 1 (Least blame) to 5 (Most blame)"
McCabeS19,Contact,False,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

Which of the following people would you contact about the bill? 

<i>Rate each group of people on a scale from “Definitely would not contact” to “Definitely would contact.” </i>

A congressman or senator's office",1,5,1=Definitely would not contact; 5=Definitely would contact,"Suppose <u>you</u> received an unexpected medical bill, and the amount you had to pay out-of-pocket was expensive and difficult to pay in full. 

Which of the following people would you contact about the bill? 

<i>Rate each group of people on a scale from “Definitely would not contact” to “Definitely would contact.” </i>

A congressman or senator's office
Please choose a number from 1 (Definitely would not contact) to 5 (Definitely would contact)"
McGinty730,social_stigma,False,How willing would you be to have a person with serious mental illness marry into your family?,1,5,1=Definitely unwilling; 5=Definitely willing,"How willing would you be to have a person with serious mental illness marry into your family?
Please choose a number from 1 (Definitely unwilling) to 5 (Definitely willing)"
McGinty730,treatment_support,False,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community",1,5,1=strongly oppose; 5=strongly favor,"Please tell us how much you favor or oppose each item below.

Expanding outpatient public mental health treatment options in the community
Please choose a number from 1 (strongly oppose) to 5 (strongly favor)"
McGinty730,willingness_to_pay_mentalhealthservices,False,Would you be willing to pay any additional taxes to improve the mental health service system in the United States?,1,2,1=no; 2=yes,"Would you be willing to pay any additional taxes to improve the mental health service system in the United States?
Please choose a number from 1 (no) to 2 (yes)"
