"study","outcome.name","scale_flip","outcome_scale_min","outcome_scale_max"
"AnsonBRIEF60","blue_collar_positivity",TRUE,1,5
"AnsonBRIEF60","economy_positivity",TRUE,1,5
"berganS20","support",FALSE,1,7
"Blair1131","Approve_Handling",FALSE,1,7
"bolsenM6","Providing Personal Pronouns",FALSE,1,7
"bolsenM6","They/Them Pronouns in Forms",FALSE,1,7
"bolsenM6","Using They/Them Pronouns",FALSE,1,7
"Bougher893","warmth Candidate A",FALSE,0,100
"Bougher893","warmth Candidate B",FALSE,0,100
"Bougher893","warmth gop",FALSE,0,100
"Braman751","legitimacy",TRUE,1,7
"Braman751","pass_legislation",FALSE,1,6
"Braman751","scholar_credibility",TRUE,1,2
"brandtS1","coppock_dv_name",FALSE,1,7
"bucci1408","Caught",FALSE,0,100
"bucci1408","Respect",FALSE,1,5
"bucci1408","Rewarding",FALSE,0,100
"CalarcoS38","Approval",TRUE,1,5
"Campbell1308","Gender Roles",FALSE,0,10
"Campbell1308","Political Engagement",FALSE,0,10
"Campbell1308","Political Responsiveness",FALSE,0,10
"caprarielloS2","coppock_dv_name",FALSE,1,5
"Cohen1099","Accounting",FALSE,1,6
"Cohen1099","History",FALSE,1,6
"Cohen1099","Nursing",FALSE,1,6
"Connors1226","rate_democrats",FALSE,0,100
"Connors1226","rate_republicans",FALSE,0,100
"Connors1226","trust_democrats",FALSE,1,5
"Connors1226","trust_republicans",FALSE,1,5
"converseS16","coppock_dv_name",FALSE,1,7
"CorstangeBRIEF69","welcome_refugees",TRUE,1,5
"Craig735","Federal Funding",TRUE,1,5
"Craig735","Immigration",TRUE,1,5
"Craig735","Terrorist Interrogation",TRUE,1,7
"death_penalty","Favor Death Penalty",FALSE,1,4
"dennyS17","hardworking",FALSE,1,5
"Enos700","modern_racism1",FALSE,1,5
"FaheyS78","cancel culture",TRUE,1,5
"FarrowS6","Disappointment",FALSE,1,7
"flavinS4","coppock_dv_name",FALSE,1,5
"gashS5","coppock_dv_name",FALSE,1,4
"Haaland874","Affirmative action: Assistance",TRUE,1,5
"Haaland874","Affirmative action: Preference",TRUE,1,5
"Haaland874","Racial Discrimination perception",TRUE,1,5
"HamiltonS31","belief_man_first",FALSE,1,2
"HankinsonS22","Clinic_support",TRUE,1,5
"Harbridge-Yong1032","Article_Fairness",FALSE,1,7
"Harbridge-Yong1032","Article_Support",FALSE,1,7
"Harbridge-Yong1032","Confidence_congress",FALSE,1,5
"Howard823","financial_slack",FALSE,1,7
"Howard823","Willingness_to_spend_on_optional_expense",FALSE,1,11
"Howat1039","Feeling_Dem",FALSE,0,100
