sample,intervention,outcome,outcome_scale,ate_vs_control,se_welch,n_treat,n_control,mean_treat,sd_treat,mean_control,sd_control
US,BindingMoral,belief,0-100; mean of 4 belief sliders,5.79996,1.62384,709,668,72.25917,28.19625,66.45921,31.81768
US,BindingMoral,policy,0-100; mean of 9 policy-support sliders,3.54478,1.31513,704,662,66.06113,23.84601,62.51635,24.70358
US,BindingMoral,share,0/1; shared climate info on social media,0.05541,0.03037,549,518,0.59016,0.49225,0.53475,0.49927
US,BindingMoral,wept,0-8; WEPT pages completed,0.07005,0.18670,711,669,5.12236,3.44051,5.05232,3.49018
US,CollectAction,belief,0-100; mean of 4 belief sliders,6.67999,1.62848,713,668,73.13920,28.46538,66.45921,31.81768
US,CollectAction,policy,0-100; mean of 9 policy-support sliders,5.18749,1.30633,706,662,67.70384,23.53639,62.51635,24.70358
US,CollectAction,share,0/1; shared climate info on social media,0.08855,0.03063,515,518,0.62330,0.48503,0.53475,0.49927
US,CollectAction,wept,0-8; WEPT pages completed,-0.55932,0.18930,714,669,4.49300,3.54741,5.05232,3.49018
US,DynamicNorm,belief,0-100; mean of 4 belief sliders,2.23174,1.68072,731,668,68.69095,30.93714,66.45921,31.81768
US,DynamicNorm,policy,0-100; mean of 9 policy-support sliders,2.64188,1.31846,724,662,65.15823,24.31327,62.51635,24.70358
US,DynamicNorm,share,0/1; shared climate info on social media,0.06336,0.03059,530,518,0.59811,0.49074,0.53475,0.49927
US,DynamicNorm,wept,0-8; WEPT pages completed,0.15068,0.18513,734,669,5.20300,3.43379,5.05232,3.49018
US,FutureSelfCont,belief,0-100; mean of 4 belief sliders,3.96493,1.75938,591,668,70.42414,30.55700,66.45921,31.81768
US,FutureSelfCont,policy,0-100; mean of 9 policy-support sliders,4.20668,1.39519,584,662,66.72303,24.46267,62.51635,24.70358
US,FutureSelfCont,share,0/1; shared climate info on social media,0.06206,0.03210,439,518,0.59681,0.49110,0.53475,0.49927
US,FutureSelfCont,wept,0-8; WEPT pages completed,-0.21645,0.19778,591,669,4.83587,3.51536,5.05232,3.49018
US,LetterFutureGen,belief,0-100; mean of 4 belief sliders,4.71641,1.76361,531,668,71.17561,29.10057,66.45921,31.81768
US,LetterFutureGen,policy,0-100; mean of 9 policy-support sliders,6.22421,1.41417,529,662,68.74056,23.88029,62.51635,24.70358
